装備ID,装備名,開発日時,燃料,弾薬,鋼材,ボーキ,旗艦ID,旗艦名,旗艦艦種,司令部Lv
37,7.7mm機銃,2015/09/10 11:52:01,10,251,250,30,275,長門改,9,104
36,九一式徹甲弾,2015/09/10 11:53:07,10,251,250,30,275,長門改,9,104
12,15.5cm三連装副砲,2015/09/10 11:53:22,10,251,250,30,275,長門改,9,104
8,41cm連装砲,2015/09/10 11:53:36,10,251,250,30,275,長門改,9,104
5,15.5cm三連装砲,2015/09/11 09:06:46,10,251,250,30,275,長門改,9,104
37,7.7mm機銃,2015/09/11 09:07:38,10,251,250,30,275,長門改,9,104
11,15.2cm単装砲,2015/09/11 09:07:57,10,251,250,30,275,長門改,9,104
11,15.2cm単装砲,2015/09/11 09:08:13,10,251,250,30,275,長門改,9,104
6,20.3cm連装砲,2015/09/12 12:30:26,10,251,250,30,275,長門改,9,104
8,41cm連装砲,2015/09/12 12:32:03,10,251,250,30,275,長門改,9,104
40,25mm三連装機銃,2015/09/12 12:32:18,10,251,250,30,275,長門改,9,104
6,20.3cm連装砲,2015/09/12 12:32:32,10,251,250,30,275,長門改,9,104
11,15.2cm単装砲,2015/09/14 18:43:50,10,251,250,30,275,長門改,9,104
23,九九式艦爆,2015/09/14 18:46:01,10,251,250,30,275,長門改,9,104
6,20.3cm連装砲,2015/09/14 18:46:15,10,251,250,30,275,長門改,9,104
13,61cm三連装魚雷,2015/09/14 18:46:31,10,251,250,30,275,長門改,9,104
-1,(失敗),2015/09/18 08:58:26,10,251,250,30,275,長門改,9,104
7,35.6cm連装砲,2015/09/18 08:59:56,10,251,250,30,275,長門改,9,104
36,九一式徹甲弾,2015/09/18 09:00:10,10,251,250,30,275,長門改,9,104
8,41cm連装砲,2015/09/18 09:00:24,10,251,250,30,275,長門改,9,104
9,46cm三連装砲,2015/09/19 09:45:08,10,251,250,30,275,長門改,9,104
-1,(失敗),2015/09/19 09:45:53,10,251,250,30,275,長門改,9,104
14,61cm四連装魚雷,2015/09/19 09:46:13,10,251,250,30,275,長門改,9,104
5,15.5cm三連装砲,2015/09/19 09:46:29,10,251,250,30,275,長門改,9,104
6,20.3cm連装砲,2015/09/20 09:15:09,10,251,250,30,275,長門改,9,104
16,九七式艦攻,2015/09/20 09:16:18,10,251,250,30,275,長門改,9,104
8,41cm連装砲,2015/09/20 09:16:32,10,251,250,30,275,長門改,9,104
11,15.2cm単装砲,2015/09/20 09:16:48,10,251,250,30,275,長門改,9,104
8,41cm連装砲,2015/09/24 11:45:34,10,251,250,30,275,長門改,9,104
-1,(失敗),2015/09/24 11:46:26,10,251,250,30,275,長門改,9,104
-1,(失敗),2015/09/24 11:46:41,10,251,250,30,275,長門改,9,104
-1,(失敗),2015/09/24 11:46:56,10,251,250,30,275,長門改,9,104
35,三式弾,2015/09/25 09:07:24,10,251,250,30,275,長門改,9,104
8,41cm連装砲,2015/09/25 09:07:47,10,251,250,30,275,長門改,9,104
37,7.7mm機銃,2015/09/25 09:08:55,10,251,250,30,275,長門改,9,104
6,20.3cm連装砲,2015/09/25 09:09:16,10,251,250,30,275,長門改,9,104
38,12.7mm単装機銃,2015/09/25 09:09:38,10,251,250,30,275,長門改,9,104
7,35.6cm連装砲,2015/09/26 09:41:51,10,251,250,30,275,長門改,9,104
-1,(失敗),2015/09/26 09:42:32,10,251,250,30,275,長門改,9,104
7,35.6cm連装砲,2015/09/26 09:42:47,10,251,250,30,275,長門改,9,104
-1,(失敗),2015/09/26 09:43:01,10,251,250,30,275,長門改,9,104
-1,(失敗),2015/09/27 09:30:22,10,10,250,250,277,赤城改,11,104
38,12.7mm単装機銃,2015/09/27 09:31:02,10,10,250,250,277,赤城改,11,104
-1,(失敗),2015/09/27 09:31:16,10,10,250,250,277,赤城改,11,104
31,32号対水上電探,2015/09/27 09:31:30,10,10,250,250,277,赤城改,11,104
-1,(失敗),2015/10/01 08:52:36,10,10,250,250,277,赤城改,11,105
-1,(失敗),2015/10/01 08:53:25,10,10,250,250,277,赤城改,11,105
3,10cm連装高角砲,2015/10/01 08:53:38,10,10,250,250,277,赤城改,11,105
20,零式艦戦21型,2015/10/01 08:53:51,10,10,250,250,277,赤城改,11,105
3,10cm連装高角砲,2015/10/04 13:52:03,10,10,250,250,277,赤城改,11,105
25,零式水上偵察機,2015/10/04 13:54:32,10,10,250,250,277,赤城改,11,105
30,21号対空電探,2015/10/04 13:54:45,10,10,250,250,277,赤城改,11,105
-1,(失敗),2015/10/04 13:54:58,10,10,250,250,277,赤城改,11,105
20,零式艦戦21型,2015/10/07 13:03:48,10,10,250,250,277,赤城改,11,105
38,12.7mm単装機銃,2015/10/07 13:04:29,10,10,250,250,277,赤城改,11,105
27,13号対空電探,2015/10/07 13:04:43,10,10,250,250,277,赤城改,11,105
25,零式水上偵察機,2015/10/07 13:04:56,10,10,250,250,277,赤城改,11,105
30,21号対空電探,2015/10/09 19:44:08,10,10,250,250,277,赤城改,11,105
20,零式艦戦21型,2015/10/09 19:46:09,10,10,250,250,277,赤城改,11,105
20,零式艦戦21型,2015/10/09 19:46:19,10,10,250,250,277,赤城改,11,105
-1,(失敗),2015/10/09 19:46:28,10,10,250,250,277,赤城改,11,105
38,12.7mm単装機銃,2015/10/10 09:09:47,10,10,250,250,277,赤城改,11,105
31,32号対水上電探,2015/10/10 09:11:05,10,10,250,250,277,赤城改,11,105
38,12.7mm単装機銃,2015/10/10 09:11:15,10,10,250,250,277,赤城改,11,105
-1,(失敗),2015/10/10 09:11:26,10,10,250,250,277,赤城改,11,105
37,7.7mm機銃,2015/10/13 16:56:21,10,10,250,250,277,赤城改,11,105
38,12.7mm単装機銃,2015/10/13 16:57:24,10,10,250,250,277,赤城改,11,105
-1,(失敗),2015/10/13 16:57:34,10,10,250,250,277,赤城改,11,105
3,10cm連装高角砲,2015/10/13 16:57:45,10,10,250,250,277,赤城改,11,105
20,零式艦戦21型,2015/10/17 16:20:52,20,20,250,250,277,赤城改,11,106
29,33号対水上電探,2015/10/17 16:24:24,20,20,250,250,277,赤城改,11,106
-1,(失敗),2015/10/17 16:24:36,20,20,250,250,277,赤城改,11,106
19,九六式艦戦,2015/10/17 16:24:46,20,20,250,250,277,赤城改,11,106
21,零式艦戦52型,2015/10/18 19:42:57,20,20,250,250,277,赤城改,11,106
37,7.7mm機銃,2015/10/18 19:44:08,20,20,250,250,277,赤城改,11,106
